Data_Arpus
﻿Badan Koordinasi Penanaman Modal Daerah Provinsi Jawa Tengah (Daftar Arsip)
Badan Koordinasi Wilayah (BAKORWIL) I Pati Propinsi Jawa Tengah (Daftar Arsip)
Badan Koordinasi Wilayah (BAKORWIL) I Pati Provinsi Jawa Tengah Buku 1 (Daftar Arsip)
Badan Koordinassi Wilayah (BAKORWIL) I Pati Provinsi Jawa Tengah Buku 2 (Daftar Arsip)
Badan Koordinasi Wilayah (BAKORWIL) II Provinsi Jawa Tengah (Daftar Arsip)
Badan Koordinasi Wilayah (BAKORWIL) II Surakarta Propinsi Jawa Tengah (Daftar Arsip)
Badan Lingkungan Hidup Provinsi Jawa Tengah (Daftar Arsip)
Badan Penanaman Modal Provinsi Jawa Tengah (Daftar Arsip)
Badan Penelitian dan Pengembangan (Balitbang) Provinsi Jawa Tengah (Daftar Arsip)
Badan Pengawas (Bawas) Propinsi Jawa Tengah (Inventaris Arsip)
Balai Harta Peninggalan (BHP) Semarang (Inventaris Arsip)
Balai Harta Peninggalan (BHP) Semarang 2 (Inventaris Arsip)
Balai Harta Peninggalan (BHP) Surakarta (Buku 1) (Inventaris Arsip)
Balai Harta Peninggalan (BHP) Surakarta (Buku 2) (Inventaris Arsip)
Balai Harta Peninggalan (BHP) Surakarta (Buku 3) (Inventaris Arsip)
Balai Harta Peninggalan (BHP) Surakarta (Buku 4) (Inventaris Arsip)
Balai Harta Peninggalan (BHP) Surakarta (Buku 5) (Inventaris Arsip)
Balai Harta Peninggalan (BHP) Surakarta (Buku 6) (Inventaris Arsip)
Biro Hukum Sekretariat Daerah Provinsi Jawa Tengah (Daftar Arsip)
Biro Humas Sekretariat Daerah Provinsi Jawa Tengah (Inventaris Arsip)
Biro Keuangan Provinsi Jawa Tengah (Daftar Arsip)
Biro Otonomi Daerah dan Kerjasama Sekretariat Daerah Pemerintah Provinsi Jawa Tengah (Berkas Pengangkatan dan Pemberhentian DPRD) (Daftar Arsip)
Biro Otonomi Daerah  Propinsi Jawa Tengah (Daftar Arsip)
Biro Otonomi Daerah Sekretariat Daerah Provinsi Jawa Tengah (Inventaris Arsip)
Biro Otonomi Daerah Sekretariat Daerah Provinsi Jawa Tengah (Inventaris Arsip)
BP-7 Kabupaten Cilacap (Daftar Arsip)
BP-7 Kabupaten Daerah Tingkat II Boyolali (Inventaris Arsip)
BP-7 Kabupaten Daerah Tingkat II Demak (Inventaris Arsip)
BP-7 Kabupaten Daerah Tingkat II Jepara (Inventaris Arsip)
BP-7 Kabupaten Daerah Tingkat II Karanganyar (Inventaris Arsip)
BP-7 Kabupaten Daerah Tingkat II Kudus (Inventaris Arsip)
BP-7 Kabupaten Daerah Tingkat II Purbalingga (Inventaris Arsip)
BP-7 Kabupaten Daerah Tingkat II Wonogiri (Inventaris Arsip)
BP-7 Kabupaten Dati II Magelang (Daftar Arsip)
BP-7 Kabupaten Dati II Tegal (Daftar Arsip)
BP-7 Kabupaten Daerah Tingkat II Banjarnegara (Inventaris Arsip)
BP-7 Kabupaten Dati II Temanggung  (Inventaris Arsip)
BP-7 Kabupaten Tingkat II Grobogan ( Inventaris Arsip)
BP-7 Kabupaten Tingkat II Blora (Inventaris Arsip)
BP-7 Kabupaten Dati II Sukoharjo ( Inventaris Arsip)
BP-7 Kotamadya Dati II Salatiga ( Inventaris Arsip)
BP-7 Kotamadya Tegal (Daftar Arsip)
BP-7 Kota Semarang (Inventaris Arsip)
BP-7 KotaMadya Dati II Surakarta (Inventaris Arsip)
BP-7 Provinsi Jawa Tengah ( Inventaris Arsip)
BP-7 Kabupaten Dati II Kebumen (Inventaris Arsip)
Dinas Kebudayaan dan Pariwisata Provinsi Jawa Tengah (Daftar Arsip)
Dinas Kehutanan Provinsi Jawa Tengah (Daftar Arsip)
Dinas Perikanan dan Kelautan Provinsi Jawa Tengah (Daftar Arsip)
Dinas Pekerjaan Umum Bina Marga Surakarta Barat (Daftar Arsip)
Dinas Pekerjaan Umum Bina Marga Surakarta Timur (Daftar Arsip)
Dinas Pekerjaan Umum Bina Marga Kedu Selatan (Inventaris Arsip)
Dinas Pekerjaan Umum Bina Marga Kedu Utara (Inventaris Arsip)
Dinas Pekerjaan Umum Bina Marga Pekalongan Timur (Daftar Arsip)
DPU Pengairan Bengawan Solo Kabupaten Klaten (Daftar Arsip)
DPU Pengairan Tuntang Hilir Kabupaten Demak (Daftar Arsip)
DPU Pengairan Tuntang Hulu Kabupaten Salatiga (Daftar Arsip)
Dinas Pekerjaan Umum Cipta Karya  (Daftar Arsip)
Dinas Pekerjaan Umum Cipta Karya Provinsi Jawa Tengah (Daftar Arsip)
Dinas Pekerjaan Umum Pengairan Bengawan Solo Kabupaten Boyolali (Daftar Arsip)
Dinas Pekerjaan Umum Pengairan Bengawan Solo Kabupaten Karanganyar (Daftar Arsip)
Dinas Peternakan Provinsi Dati I Jawa Tengah (Daftar Arsip)
Dinas Permukiman dan Tata Ruang Propinsi Jawa Tengah (Inventaris Arsip)
Dinas Koperasi Usaha kecil dan Menengah Provinsi Jawa Tengah (Inventarisasi Arsip)
Hoof Proviciale Waterstaat (HPW) Midden Java Buku I (Daftar Arsip)
Hoof Proviciale Waterstaat (HPW) Midden Java Buku 2 (Daftar Arsip)
Hoofd Provinsiale Waterstaat Midden Java (Inventaris Arsip)
Hoofden Van Den Provicialen Water Staat Diens Van Java (HPW Buku III) (Inventaris Arsip)
Hoofden Van Den Provicialen Water Staat Diens Van Java (HPW Buku IV) (Daftar Arsip)
Jendral Gatot Subroto (Daftar Arsip)
Kantor Arsip Daerah Provinsi Jawa Tengah (Daftar Arsip)
Kantor Departemen Penerangan Kabupaten Rembang (Daftar Arsip)
Kantor Departemen Penerangan Kabupaten Temanggung (Daftar Arsip)
Kontor Departemen Transmigrasi Dan PPH Kabupaten Magelang  (Inventaris Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Banjarnegara (Inventaris Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Banyumas (Daftar Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Boyolali (Inventaris Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Cilacap (Inventaris Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Grobogan (Inventaris Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Kebumen (Inventaris Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Purbalingga (Inventaris Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Purworejo (Inventaris Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Temanggung (Inventaris Arsip)
Kantor Departemen Transmigrasi dan PPH Kabupaten Wonogiri (Inventaris Arsip)
Kantor Departemen Transmigrasi Kabupaten Jepara  (Inventaris Arsip)
Kantor Wilayah Departemen Transmigrasi Dan PPH Provinsi Jawa Tengah (Inventaris Arsip)
Kantor Urusan Agama (KUA) Kantor Departemen Agama Kabupaten Temanggung (Daftar Arsip)
Kantor Perpustakaan Wilayah Provinsi Jawa Tengah (Daftar Arsip)
Kantor Wilayah Departemen Perhubungan Bidang Pos Dan Telekomunikasi (Daftar Arsip)
Kantor Wilayah Departemen Perhubungan Bidang Perhubungan Laut (Daftar Arsip)
Kantor Wilayah Departemen Perhubungan Bidang Perhubungan Darat (Daftar Arsip)
Kantor Wilayah Departemen Perhubungan Bidang Perhubungan Udara (Daftar Arsip)
Kantor Wilayah Departemen Perhubungan Bidang Rencana Dan Program (Daftar Arsip)
Kantor Wilayah Departemen Perhubungan Provinsi Jawa Tengah (Daftar Arsip)
Kantor Wilayah Departemen Kehutanan Provinsi Jawa Tengah I (Daftar Arsip)
Kantor Wilayah Departemen Kehutanan Provinsi Jawa Tengah II (Daftar Arsip)
Kantor Wilayah Departemen Kesehatan Provinsi Jawa Tengah Buku I A (Daftar Arsip)
Kantor Wilayah Departemen Kesehatan Provinsi Jawa Tengah Buku I B (Daftar Arsip)
Kantor Wilayah Departemen Kesehatan Provinsi Jawa Tengah Buku II A (Daftar Arsip)
Kantor Wilayah Departemen Kesehatan Provinsi Jawa Tengah Buku II B (Daftar Arsip)
Kantor Wilayah Departemen Pendidikan Nasional Provinsi Jawa Tengah Buku 2 (Daftar Arsip)
Kantor Wilayah Departemen Pendidikan Nasional Provinsi Jawa Tengah Buku 1 (Daftar Arsip)
Kantor Wilayah Departemen Penerangan Provinsi Jawa Tengah (Inventaris Arsip)
Kantor Wilayah Departemen PU Provinsi Jawa Tengah Buku 1  (Daftar Arsip)
Kantor Wilayah Departemen Seni dan Budaya  Provinsi Jawa Tengah(Daftar Arsip)
Kantor Wilayah Departemen Sosial Provinsi Jawa Tengah (Daftar Arsip)
Kantor Wilayah Departemen Sosial Provinsi Jawa Tengah Buku I (Daftar Arsip)
Kantor Wilayah Departemen Sosial Provinsi Jawa Tengah Buku II (Daftar Arsip)
Karesidenan Semarang (Inventaris Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Cilacap) Buku I (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Banyumas) Buku II  (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Purbalingga) Buku III  (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Banjarnegara) Buku IV  (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Boyolali) Buku IX (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Kebumen) Buku V (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Purworejo) Buku VI (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Wonosobo) Buku VII  (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Magelang) Buku X (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Klaten) Buku XII (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Grobogan) Buku XV (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kota Semarang) Buku XXXIII (Daftar Arsip)
Komisi Pemilihan Umum Provinsi  Jawa Tengah Pemilu 2004 (Kabupaten Kendal) Buku XXXIV (Daftar Arsip)
Komisi Pemilihan Umum Provinsi Jawa Tengah ( Daftar Arsip )
Lembaga Pemasyarakatan (LP/Lapas) Ambarawa  (Inventaris Arsip)
Lembaga Pemasyarakatan (LP/Lapas) Batu Nusakambangan Kelas I (Inventaris Arsip)
Lembaga Pemasyarakatan (LP/Lapas) Kelas II A Pekalongan (Inventaris Arsip)
Lembaga Pemasyarakatan (LP/Lapas) Magelang  (Inventaris Arsip)
Lembaga Pemasyarakatan (LP/Lapas) Nusakambangan - Cilacap  (Inventaris Arsip)
Lembaga Pemasyarakatan (LP/Lapas) Pati                                            (Inventaris Arsip)
Lembaga Pemasyarakatan (LP/Lapas) Purwokerto (Inventaris Arsip)
Lembaga Pemasyarakatan (LP/Lapas) Tegal                                         (Inventaris Arsip)
Lembaga Pemasyarakatan (LP/Lapas) Wirogunan Yogyakarta (Inventaris Arsip) (Arsip Tersimpan di Lembaga Kearsipan Prov. DIY)
Lembaga Pemasyarakatan/Rutan Blora                           (Inventaris Arsip)
Lembaga Pemasyarakatan Kelas II A Besi Nusakambangan  (Inventaris Arsip)
M. Nitisemito Kudus (Inventaris Arsip)
Moenadi (Mantan Gubernur Jawa Tengah) (Daftar Arsip)
Pabrik Gula Banjaratma Brebes (Inventaris Arsip)
Pabrik Gula Cepiring Kabupaten Kendal                         (Inventaris Arsip)
Pabrik Gula Jatibarang Brebes (Inventaris Arsip)
Pabrik Gula Mojo Sragen (Inventaris Arsip)
Pabrik Gula Sragi Pekalongan (Inventaris Arsip)
